order_id,customer_id,product_id,order_date,quantity,unit_price,status
O1001,C001,P100,01-04-2024,2,750,completed
O1002,C002,P101,02-04-2024,5,20,completed
O1003,C003,P102,02-04-2024,3,50,completed
O1004,C004,P103,04-04-2024,1,200,returned
O1005,C005,P104,05-04-2024,1,300,completed
O1006,C006,P100,05-04-2024,1,750,completed
O1007,C007,P101,06-04-2024,2,20,completed
O1008,C999,P102,07-04-2024,1,50,completed
O1009,C008,P999,08-04-2024,2,15,completed
O1010,C001,P102,09-04-2024,0,50,completed
O1011,C002,P105,bad-date,4,12.5,completed
O1012,C003,P100,10-04-2024,1,750,cancelled
O1013,C008,P101,11-04-2024,10,20,completed
O1014,C009,P104,12-04-2024,-1,300,completed
O1015,C005,P103,13-04-2024,2,200,completed
O1016,C004,P102,14-04-2024,1,,completed
O1017,C009,P101,15-04-2024,3,20,completed
